run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
13,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9861,4129.0,1.0,4129.0,4129.0,46.0,12118.0,367.0,367.0,0.0,1.0,1.0
14,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9873,4049.0,1.0,4049.0,4049.0,50.0,13122.0,473.0,473.0,0.0,1.0,1.0
15,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9801,3985.0,1.0,3985.0,3985.0,48.0,12637.0,141.0,141.0,0.0,1.0,1.0
16,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9859,3933.0,1.0,3933.0,3933.0,49.0,12909.0,105.0,105.0,0.0,1.0,1.0
17,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9791,4151.0,1.0,4148.0,4151.0,42.0,11075.0,389.0,389.0,3.0,1.0,1.0
18,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9975,4381.0,1.0,4381.0,4381.0,39.0,10534.0,594.0,594.0,0.0,1.0,1.0
19,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9771,4527.0,1.0,4527.0,4527.0,42.0,11114.0,151.0,151.0,0.0,1.0,1.0
20,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9801,4005.0,1.0,4005.0,4005.0,48.0,12570.0,134.0,134.0,0.0,1.0,1.0
21,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9987,4287.0,1.0,4287.0,4287.0,39.0,10332.0,95.0,95.0,0.0,1.0,1.0
22,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9873,4354.0,1.0,4354.0,4354.0,45.0,11876.0,88.0,88.0,0.0,1.0,1.0
23,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9893,4447.0,1.0,4447.0,4447.0,44.0,11548.0,105.0,105.0,0.0,1.0,1.0
24,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9932,4411.0,1.0,4411.0,4411.0,47.0,12434.0,504.0,504.0,0.0,1.0,1.0
25,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9804,4373.0,1.0,4373.0,4373.0,42.0,11078.0,112.0,112.0,0.0,1.0,1.0
26,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9849,3963.0,1.0,3963.0,3963.0,44.0,11714.0,350.0,350.0,0.0,1.0,1.0
27,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9981,3743.0,1.0,3743.0,3743.0,43.0,11393.0,61.0,61.0,0.0,1.0,1.0
28,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9773,4361.0,1.0,4361.0,4361.0,37.0,9833.0,182.0,182.0,0.0,1.0,1.0
29,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9868,4332.0,1.0,4332.0,4332.0,44.0,11612.0,43.0,43.0,0.0,1.0,1.0
30,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9889,4138.0,1.0,4138.0,4138.0,45.0,12152.0,582.0,582.0,0.0,1.0,1.0
31,Scale-Free Network,Perfect Communication,w Timestamp,0.2,0.0,DSA_ASY,0.7,9791,4338.0,1.0,4338.0,4338.0,42.0,11070.0,177.0,177.0,0.0,1.0,1.0
