DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10400,6707.0,0.98,6705.63,6702.53,63.57,30994.08,273.06,273.45,1.37,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10500,6706.08,0.99,6705.43,6702.51,64.17,31288.7,273.06,273.45,0.67,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10600,6706.95,0.99,6705.88,6702.51,64.78,31588.0,273.06,273.06,1.24,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10700,6706.79,0.99,6706.12,6702.51,65.37,31869.91,272.57,273.06,1.0,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10800,6705.86,1.0,6705.765,6702.45,65.95,32152.69,272.57,273.06,0.965,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,10900,6706.3,0.98,6705.615,6702.45,66.58,32470.44,272.96,273.06,1.395,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11000,6705.69,1.0,6706.505,6702.45,67.18,32758.54,272.57,272.57,0.815,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11100,6705.69,1.0,6706.075,6702.45,67.77,33046.9,272.57,272.57,1.245,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11200,6706.22,0.98,6705.74,6702.45,68.43,33365.03,273.06,272.96,0.79,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11300,6705.92,0.99,6705.855,6702.45,69.01,33649.42,272.57,272.96,0.435,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11400,6705.78,1.0,6705.895,6702.45,69.58,33937.96,272.57,272.57,0.115,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11500,6706.19,0.99,6705.67,6702.45,70.26,34255.67,272.57,273.06,0.67,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11600,6706.19,0.99,6705.445,6702.45,70.8,34511.56,272.57,273.06,1.045,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11700,6706.19,1.0,6706.05,6702.45,71.41,34818.24,272.57,272.57,0.51,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11800,6706.65,0.99,6705.72,6702.45,72.01,35105.04,272.1,272.57,1.14,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,11900,6706.65,0.99,6705.695,6702.45,72.61,35403.4,272.1,272.57,1.445,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12000,6705.83,1.0,6705.645,6702.45,73.17,35686.5,272.1,272.57,0.675,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12100,6706.11,0.99,6705.375,6702.45,73.85,35999.86,272.57,272.1,0.735,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12200,6706.11,0.99,6705.83,6702.45,74.36,36248.32,272.57,272.1,0.34,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12300,6706.11,1.0,6705.915,6702.45,75.05,36580.2,272.57,272.1,0.255,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12400,6706.11,1.0,6705.865,6702.45,75.67,36884.39,272.57,272.1,0.385,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12500,6707.64,0.99,6705.46,6702.45,76.18,37130.47,272.59,272.57,2.18,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12600,6705.83,1.0,6706.185,6702.45,76.89,37485.25,272.1,272.1,0.355,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12700,6705.83,1.0,6706.08,6702.45,77.4,37733.45,272.1,272.1,0.46,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12800,6705.83,1.0,6706.23,6702.45,78.08,38068.22,272.1,272.59,0.61,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,12900,6705.83,1.0,6706.03,6702.45,78.67,38356.2,272.1,272.1,0.24,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,13000,6705.83,1.0,6706.05,6702.45,79.28,38655.21,272.1,272.1,0.22,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,13100,6705.83,1.0,6705.805,6702.45,79.89,38950.78,272.1,272.1,0.025,1.0,1.0
